,active_finished_ratio,answer_time,first_sold_time,max_active_cost,max_finished_cost,mean_active_cost,mean_finished_cost,min_active_cost,min_finished_cost,n_active,n_finished,name,person_status,start_date,url
1575,1.0,Отвечает за несколько часов,736541.0,6000.0,1000.0,1465.625,306.3125,150.0,1.0,16,16,анжелика,частное лицо,734959.0,https://www.avito.ru/user/3fca7f6d7268e5368b2d0678aaf7e8cf/profile
1576,3.0,,,20000.0,,10499.5,,999.0,,2,0,ольга,частное лицо,736968.0,https://www.avito.ru/user/4cf69465bd134a2ee50fa0de32c7ea22/profile
1577,7.4,Отвечает за несколько часов,736973.0,3000.0,1500.0,452.77777777777777,1000.0,0.0,700.0,36,4,елена,частное лицо,734472.0,https://www.avito.ru/user/3753d8e96a0b7104f7bfc730295a5385/profile
1578,1.6666666666666667,,736989.0,42000.0,2500.0,11175.0,2250.0,500.0,2000.0,4,2,юлия,частное лицо,736420.0,https://www.avito.ru/user/bb4b6bbeb63ef07ee62e69eae4815b73/profile
1579,1.5555555555555556,,736853.0,1500.0,2000.0,615.3846153846154,1187.5,150.0,250.0,13,8,ольга,частное лицо,736846.0,https://www.avito.ru/user/ccbd6572cf5b60710516507f38260ff8/profile
1580,12.5,,736991.0,16990.0,6990.0,6603.333333333332,6990.0,2990.0,6990.0,24,1,инна,частное лицо,736938.0,https://www.avito.ru/user/bebac26a48f5dbc442a03cc41601f66c/profile
1581,0.2307692307692308,,734986.0,3000.0,1330000.0,2500.0,146300.0,2000.0,0.0,2,12,оксана,частное лицо,734959.0,https://www.avito.ru/user/dfb3fead343fba4eebe7db970f7fc563/profile
1582,13.0,Отвечает за несколько часов,736993.0,1000.0,5000.0,471.6,5000.0,45.0,5000.0,25,1,галина,частное лицо,735385.0,https://www.avito.ru/user/7784ed4857504cfbd1db23277fff30ed/profile
1583,4.714285714285714,Отвечает за несколько часов,736960.0,10000.0,1500.0,2265.625,733.3333333333335,500.0,500.0,32,6,диана,частное лицо,736116.0,https://www.avito.ru/user/755c5f062af269a0fc51f2b5683b294c/profile
1584,0.43478260869565216,Отвечает в течение дня,736798.0,315000.0,170000.0,47477.77777777778,21766.772727272728,2500.0,320.0,9,22,виктория,частное лицо,734169.0,https://www.avito.ru/user/789759a3346bff338400b9ba2f63e9be/profile
1585,0.4245283018867925,Отвечает около часа,736019.0,800.0,8000.0,313.6363636363636,1040.952380952381,100.0,100.0,44,105,ирина,частное лицо,735658.0,https://www.avito.ru/user/c6b321180f3574a2941c44cfd3d61366/profile
1586,10.0,Отвечает за несколько часов,,1200.0,,694.4444444444445,,350.0,,9,0,светлана,частное лицо,734716.0,https://www.avito.ru/user/3e462fa5235bc76bef2c4c234fe63835/profile
1587,5.0,,,13000.0,,6600.0,,2900.0,,4,0,анастасия вахромешина,частное лицо,736055.0,https://www.avito.ru/user/559f377ddad656eb68e4fb0aa42183e7/profile
1588,0.4,,736403.0,300.0,5000.0,300.0,2625.0,300.0,0.0,1,4,андрей,частное лицо,734869.0,https://www.avito.ru/user/f6c4aa70eb5f1c20043d3dd72c255068/profile
1589,11.0,,736875.0,12500.0,2800.0,4033.333333333334,2800.0,1200.0,2800.0,21,1,света,частное лицо,734869.0,https://www.avito.ru/user/9af5afd2b0926aee20f7b88bf364ed9f/profile
